time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,city,AQI_Category,severity_score,Risk_Level,hour
2025-12-11 00:00:00,53.3,50.9,363.0,6.2,119.0,16.7,bengaluru,Moderate,1589.0,High Risk,0
2025-12-11 01:00:00,56.2,53.9,485.0,10.2,120.0,18.2,bengaluru,Moderate,1881.7,High Risk,1
2025-12-11 02:00:00,59.8,57.5,649.0,15.5,120.0,19.9,bengaluru,Moderate,2266.5,High Risk,2
2025-12-11 03:00:00,60.8,58.2,734.0,18.0,123.0,20.4,bengaluru,Moderate,2464.0,High Risk,3
2025-12-11 04:00:00,56.7,53.4,662.0,14.6,135.0,18.9,bengaluru,Moderate,2300.1,High Risk,4
2025-12-11 05:00:00,48.4,45.5,510.0,8.4,150.0,16.3,bengaluru,Good,1941.5,High Risk,5
2025-12-11 06:00:00,43.1,40.7,391.0,3.7,160.0,13.9,bengaluru,Good,1665.2,High Risk,6
2025-12-11 07:00:00,40.2,38.2,345.0,2.0,161.0,12.1,bengaluru,Good,1541.0,High Risk,7
2025-12-11 08:00:00,38.5,36.4,331.0,1.9,157.0,10.6,bengaluru,Good,1480.5,High Risk,8
2025-12-11 09:00:00,38.3,36.2,341.0,3.5,150.0,9.6,bengaluru,Good,1480.3,High Risk,9
2025-12-11 10:00:00,38.9,36.8,382.0,7.4,141.0,9.2,bengaluru,Good,1554.1,High Risk,10
2025-12-11 11:00:00,40.2,38.3,447.0,12.9,129.0,9.3,bengaluru,Good,1681.9,High Risk,11
2025-12-11 12:00:00,43.4,41.9,506.0,18.4,116.0,9.9,bengaluru,Good,1812.9,High Risk,12
2025-12-11 13:00:00,48.2,47.0,552.0,24.2,101.0,11.3,bengaluru,Good,1928.6,High Risk,13
2025-12-11 14:00:00,51.6,50.5,593.0,30.0,86.0,13.1,bengaluru,Moderate,2023.6999999999998,High Risk,14
2025-12-11 15:00:00,53.0,51.8,622.0,33.1,75.0,14.3,bengaluru,Moderate,2076.6,High Risk,15
2025-12-11 16:00:00,53.4,52.4,639.0,31.8,72.0,14.1,bengaluru,Moderate,2099.8,High Risk,16
2025-12-11 17:00:00,53.7,52.5,645.0,27.8,73.0,13.3,bengaluru,Moderate,2097.0,High Risk,17
2025-12-11 18:00:00,52.9,51.7,637.0,23.6,75.0,12.4,bengaluru,Moderate,2060.2,High Risk,18
2025-12-11 19:00:00,51.7,50.4,606.0,19.7,76.0,11.8,bengaluru,Moderate,1973.1,High Risk,19
2025-12-11 20:00:00,51.1,49.8,561.0,15.5,77.0,11.1,bengaluru,Good,1861.7,High Risk,20
2025-12-11 21:00:00,51.1,49.6,524.0,11.8,82.0,10.1,bengaluru,Good,1782.9,High Risk,21
2025-12-11 22:00:00,52.2,50.6,492.0,8.5,93.0,8.4,bengaluru,Moderate,1740.2,High Risk,22
2025-12-11 23:00:00,57.0,55.2,470.0,5.7,106.0,6.4,bengaluru,Moderate,1753.4,High Risk,23
2025-12-12 00:00:00,56.8,55.1,488.0,4.6,116.0,5.2,bengaluru,Moderate,1809.1,High Risk,0
2025-12-12 01:00:00,58.1,56.6,602.0,6.6,118.0,5.6,bengaluru,Moderate,2064.1,High Risk,1
2025-12-12 02:00:00,59.6,57.7,758.0,10.2,116.0,6.8,bengaluru,Moderate,2399.3,High Risk,2
2025-12-12 03:00:00,55.9,54.0,825.0,12.2,117.0,7.6,bengaluru,Moderate,2517.9,High Risk,3
2025-12-12 04:00:00,52.2,50.2,715.0,10.7,125.0,7.6,bengaluru,Moderate,2285.8,High Risk,4
2025-12-12 05:00:00,47.8,45.8,515.0,7.5,137.0,7.3,bengaluru,Good,1872.6,High Risk,5
2025-12-12 06:00:00,42.1,39.9,362.0,5.0,145.0,6.9,bengaluru,Good,1532.4,High Risk,6
2025-12-12 07:00:00,37.4,35.0,309.0,3.2,148.0,6.3,bengaluru,Good,1387.2,High Risk,7
2025-12-12 08:00:00,33.2,30.9,302.0,2.1,148.0,5.6,bengaluru,Good,1332.9,High Risk,8
2025-12-12 09:00:00,30.4,28.1,314.0,3.9,143.0,5.4,bengaluru,Good,1325.9,High Risk,9
2025-12-12 10:00:00,29.0,26.8,335.0,10.3,129.0,5.8,bengaluru,Good,1342.4,High Risk,10
2025-12-12 11:00:00,29.1,27.1,375.0,19.5,111.0,6.8,bengaluru,Good,1411.0,High Risk,11
2025-12-12 12:00:00,34.3,32.8,434.0,28.6,92.0,8.1,bengaluru,Good,1557.6999999999998,High Risk,12
2025-12-12 13:00:00,42.8,41.3,534.0,38.2,73.0,10.3,bengaluru,Good,1815.9,High Risk,13
2025-12-12 14:00:00,45.5,44.2,654.0,47.6,55.0,12.9,bengaluru,Good,2072.5,High Risk,14
2025-12-12 15:00:00,45.4,44.1,731.0,51.9,45.0,14.6,bengaluru,Good,2219.7,High Risk,15
2025-12-12 16:00:00,44.8,43.7,734.0,47.5,48.0,14.5,bengaluru,Good,2212.9,High Risk,16
2025-12-12 17:00:00,44.2,43.1,695.0,37.9,58.0,13.4,bengaluru,Good,2117.3,High Risk,17
2025-12-12 18:00:00,43.1,42.0,647.0,28.9,68.0,12.4,bengaluru,Good,2002.5,High Risk,18
2025-12-12 19:00:00,41.7,40.7,590.0,22.0,75.0,11.7,bengaluru,Good,1868.4,High Risk,19
2025-12-12 20:00:00,40.6,39.8,524.0,15.6,82.0,11.1,bengaluru,Good,1721.6,High Risk,20
2025-12-12 21:00:00,40.3,39.3,477.0,11.2,86.0,10.7,bengaluru,Good,1617.0,High Risk,21
2025-12-12 22:00:00,40.4,39.3,431.0,9.0,87.0,10.5,bengaluru,Good,1518.7,High Risk,22
2025-12-12 23:00:00,41.6,40.4,404.0,8.7,85.0,10.5,bengaluru,Good,1466.6,High Risk,23
2025-12-13 00:00:00,45.5,44.1,480.0,10.8,81.0,10.8,bengaluru,Good,1646.4,High Risk,0
2025-12-13 01:00:00,53.1,51.7,795.0,18.1,72.0,11.7,bengaluru,Moderate,2343.0,High Risk,1
2025-12-13 02:00:00,57.0,55.9,1213.0,27.8,60.0,12.9,bengaluru,Moderate,3219.3,High Risk,2
2025-12-13 03:00:00,56.1,55.2,1407.0,32.3,59.0,13.3,bengaluru,Moderate,3617.7,High Risk,3
2025-12-13 04:00:00,37.7,34.8,1152.0,26.3,77.0,12.4,bengaluru,Good,2976.9,High Risk,4
2025-12-13 05:00:00,26.5,22.4,673.0,15.0,104.0,10.7,bengaluru,Good,1952.3,High Risk,5
2025-12-13 06:00:00,20.4,16.6,314.0,6.4,126.0,9.3,bengaluru,Good,1213.0,High Risk,6
2025-12-13 07:00:00,17.8,14.6,225.0,2.7,137.0,8.3,bengaluru,Good,1031.4,High Risk,7
2025-12-13 08:00:00,16.6,13.9,256.0,1.7,143.0,7.5,bengaluru,Good,1097.1,High Risk,8
2025-12-13 09:00:00,16.3,13.7,305.0,4.6,140.0,7.3,bengaluru,Good,1195.0,High Risk,9
2025-12-13 10:00:00,16.1,13.6,342.0,13.6,125.0,7.8,bengaluru,Good,1260.9,High Risk,10
2025-12-13 11:00:00,17.0,14.4,398.0,26.5,103.0,8.9,bengaluru,Good,1369.6,High Risk,11
2025-12-13 12:00:00,24.4,22.1,459.0,38.3,81.0,10.3,bengaluru,Good,1539.1,High Risk,12
2025-12-13 13:00:00,34.5,31.8,537.0,49.2,61.0,12.5,bengaluru,Good,1766.3,High Risk,13
2025-12-13 14:00:00,37.7,34.8,620.0,59.0,42.0,15.0,bengaluru,Good,1949.1,High Risk,14
2025-12-13 15:00:00,36.3,33.4,664.0,62.5,32.0,16.4,bengaluru,Good,2015.5,High Risk,15
2025-12-13 16:00:00,34.7,31.7,642.0,55.3,37.0,15.6,bengaluru,Good,1941.2,High Risk,16
2025-12-13 17:00:00,34.1,31.1,580.0,41.8,50.0,13.7,bengaluru,Good,1789.8,High Risk,17
2025-12-13 18:00:00,33.3,30.3,518.0,29.8,63.0,12.1,bengaluru,Good,1644.0,High Risk,18
2025-12-13 19:00:00,32.7,29.7,460.0,21.8,72.0,11.2,bengaluru,Good,1514.6,High Risk,19
2025-12-13 20:00:00,33.4,30.6,402.0,15.4,81.0,10.5,bengaluru,Good,1403.8,High Risk,20
2025-12-13 21:00:00,34.9,32.1,365.0,11.0,87.0,10.2,bengaluru,Good,1341.0,High Risk,21
2025-12-13 22:00:00,36.8,34.0,342.0,8.8,89.0,10.2,bengaluru,Good,1307.4,High Risk,22
2025-12-13 23:00:00,39.2,36.2,340.0,8.7,88.0,10.4,bengaluru,Good,1319.0,High Risk,23
2025-12-14 00:00:00,42.3,39.1,403.0,10.6,85.0,11.0,bengaluru,Good,1469.8,High Risk,0
2025-12-14 01:00:00,48.7,45.3,618.0,16.9,79.0,12.2,bengaluru,Good,1962.0,High Risk,1
2025-12-14 02:00:00,53.9,50.8,899.0,25.3,71.0,13.8,bengaluru,Moderate,2583.1,High Risk,2
2025-12-14 03:00:00,47.7,45.4,1031.0,29.1,71.0,14.5,bengaluru,Good,2819.5,High Risk,3
2025-12-14 04:00:00,34.7,31.9,867.0,23.7,86.0,13.8,bengaluru,Good,2405.6,High Risk,4
2025-12-14 05:00:00,25.9,23.9,553.0,13.6,109.0,12.3,bengaluru,Good,1733.8,High Risk,5
2025-12-14 06:00:00,21.1,19.2,317.0,5.9,126.0,10.8,bengaluru,Good,1238.1,High Risk,6
2025-12-14 07:00:00,18.9,16.7,255.0,2.7,134.0,9.4,bengaluru,Good,1100.6,High Risk,7
2025-12-14 08:00:00,18.3,15.9,270.0,1.9,136.0,8.1,bengaluru,Good,1122.4,High Risk,8
2025-12-14 09:00:00,18.0,15.5,300.0,4.2,132.0,7.4,bengaluru,Good,1173.9,High Risk,9
2025-12-14 10:00:00,18.0,15.8,327.0,11.0,120.0,7.7,bengaluru,Good,1221.8,High Risk,10
2025-12-14 11:00:00,18.9,16.9,368.0,21.0,101.0,8.6,bengaluru,Good,1298.6,High Risk,11
2025-12-14 12:00:00,24.9,23.3,420.0,30.6,83.0,9.9,bengaluru,Good,1442.2,High Risk,12
2025-12-14 13:00:00,34.0,32.5,494.0,40.7,66.0,12.1,bengaluru,Good,1661.7,High Risk,13
2025-12-14 14:00:00,38.0,36.6,577.0,50.4,49.0,14.7,bengaluru,Good,1858.4,High Risk,14
2025-12-14 15:00:00,38.5,37.3,628.0,54.4,40.0,16.2,bengaluru,Good,1960.4,High Risk,15
2025-12-14 16:00:00,38.4,37.3,625.0,48.3,45.0,15.5,bengaluru,Good,1941.9,High Risk,16
2025-12-14 17:00:00,38.5,37.4,590.0,36.5,59.0,13.6,bengaluru,Good,1859.9,High Risk,17
2025-12-14 18:00:00,38.3,37.3,547.0,26.1,70.0,11.9,bengaluru,Good,1757.4,High Risk,18
2025-12-14 19:00:00,37.7,36.6,493.0,19.5,76.0,10.9,bengaluru,Good,1631.7,High Risk,19
2025-12-14 20:00:00,37.5,36.4,430.0,14.4,80.0,10.1,bengaluru,Good,1492.5,High Risk,20
2025-12-14 21:00:00,37.8,36.7,391.0,10.8,83.0,9.3,bengaluru,Good,1408.3,High Risk,21
2025-12-14 22:00:00,38.9,37.6,399.0,8.8,83.0,8.4,bengaluru,Good,1420.5,High Risk,22
2025-12-14 23:00:00,41.8,40.3,432.0,8.2,82.0,7.7,bengaluru,Good,1500.5,High Risk,23
2025-12-15 00:00:00,46.3,44.7,441.8,8.7,82.0,7.2,bengaluru,Good,1555.6,High Risk,0
2025-12-15 01:00:00,50.9,49.1,448.0,11.3,85.0,7.3,bengaluru,Good,1623.6,High Risk,1
2025-12-15 02:00:00,52.7,50.6,469.5,15.0,90.0,7.8,bengaluru,Moderate,1711.3,High Risk,2
2025-12-15 03:00:00,52.2,50.3,485.0,16.5,98.0,8.2,bengaluru,Moderate,1770.9,High Risk,3
2025-12-15 04:00:00,48.1,46.0,451.0,13.8,112.0,8.3,bengaluru,Good,1700.7,High Risk,4
2025-12-15 05:00:00,41.7,39.2,393.0,8.9,129.0,8.4,bengaluru,Good,1563.3000000000002,High Risk,5
2025-12-15 06:00:00,34.9,32.4,342.0,5.1,141.0,8.1,bengaluru,Good,1426.5,High Risk,6
2025-12-15 07:00:00,29.4,26.9,303.0,3.2,144.0,7.2,bengaluru,Good,1302.3,High Risk,7
2025-12-15 08:00:00,25.8,23.3,271.0,2.5,141.0,6.0,bengaluru,Good,1192.9,High Risk,8
2025-12-15 09:00:00,24.5,21.9,265.0,3.6,136.0,5.4,bengaluru,Good,1157.0,High Risk,9
2025-12-15 10:00:00,25.0,22.4,305.0,8.1,127.0,5.8,bengaluru,Good,1233.6,High Risk,10
2025-12-15 11:00:00,26.6,24.2,371.0,14.5,115.0,6.7,bengaluru,Good,1372.6,High Risk,11
2025-12-15 12:00:00,30.7,28.9,420.0,19.2,107.0,7.4,bengaluru,Good,1504.0,High Risk,12
2025-12-11 00:00:00,53.3,50.9,363.0,6.2,119.0,16.7,bengaluru,Moderate,1589.0,High Risk,0
2025-12-11 01:00:00,56.2,53.9,485.0,10.2,120.0,18.2,bengaluru,Moderate,1881.7,High Risk,1
2025-12-11 02:00:00,59.8,57.5,649.0,15.5,120.0,19.9,bengaluru,Moderate,2266.5,High Risk,2
2025-12-11 03:00:00,60.8,58.2,734.0,18.0,123.0,20.4,bengaluru,Moderate,2464.0,High Risk,3
2025-12-11 04:00:00,56.7,53.4,662.0,14.6,135.0,18.9,bengaluru,Moderate,2300.1,High Risk,4
2025-12-11 05:00:00,48.4,45.5,510.0,8.4,150.0,16.3,bengaluru,Good,1941.5,High Risk,5
2025-12-11 06:00:00,43.1,40.7,391.0,3.7,160.0,13.9,bengaluru,Good,1665.2,High Risk,6
2025-12-11 07:00:00,40.2,38.2,345.0,2.0,161.0,12.1,bengaluru,Good,1541.0,High Risk,7
2025-12-11 08:00:00,38.5,36.4,331.0,1.9,157.0,10.6,bengaluru,Good,1480.5,High Risk,8
2025-12-11 09:00:00,38.3,36.2,341.0,3.5,150.0,9.6,bengaluru,Good,1480.3,High Risk,9
2025-12-11 10:00:00,38.9,36.8,382.0,7.4,141.0,9.2,bengaluru,Good,1554.1,High Risk,10
2025-12-11 11:00:00,40.2,38.3,447.0,12.9,129.0,9.3,bengaluru,Good,1681.9,High Risk,11
2025-12-11 12:00:00,43.4,41.9,506.0,18.4,116.0,9.9,bengaluru,Good,1812.9,High Risk,12
2025-12-11 13:00:00,48.2,47.0,552.0,24.2,101.0,11.3,bengaluru,Good,1928.6,High Risk,13
2025-12-11 14:00:00,51.6,50.5,593.0,30.0,86.0,13.1,bengaluru,Moderate,2023.6999999999998,High Risk,14
2025-12-11 15:00:00,53.0,51.8,622.0,33.1,75.0,14.3,bengaluru,Moderate,2076.6,High Risk,15
2025-12-11 16:00:00,53.4,52.4,639.0,31.8,72.0,14.1,bengaluru,Moderate,2099.8,High Risk,16
2025-12-11 17:00:00,53.7,52.5,645.0,27.8,73.0,13.3,bengaluru,Moderate,2097.0,High Risk,17
2025-12-11 18:00:00,52.9,51.7,637.0,23.6,75.0,12.4,bengaluru,Moderate,2060.2,High Risk,18
2025-12-11 19:00:00,51.7,50.4,606.0,19.7,76.0,11.8,bengaluru,Moderate,1973.1,High Risk,19
2025-12-11 20:00:00,51.1,49.8,561.0,15.5,77.0,11.1,bengaluru,Good,1861.7,High Risk,20
2025-12-11 21:00:00,51.1,49.6,524.0,11.8,82.0,10.1,bengaluru,Good,1782.9,High Risk,21
2025-12-11 22:00:00,52.2,50.6,492.0,8.5,93.0,8.4,bengaluru,Moderate,1740.2,High Risk,22
2025-12-11 23:00:00,57.0,55.2,470.0,5.7,106.0,6.4,bengaluru,Moderate,1753.4,High Risk,23
2025-12-12 00:00:00,56.8,55.1,488.0,4.6,116.0,5.2,bengaluru,Moderate,1809.1,High Risk,0
2025-12-12 01:00:00,58.1,56.6,602.0,6.6,118.0,5.6,bengaluru,Moderate,2064.1,High Risk,1
2025-12-12 02:00:00,59.6,57.7,758.0,10.2,116.0,6.8,bengaluru,Moderate,2399.3,High Risk,2
2025-12-12 03:00:00,55.9,54.0,825.0,12.2,117.0,7.6,bengaluru,Moderate,2517.9,High Risk,3
2025-12-12 04:00:00,52.2,50.2,715.0,10.7,125.0,7.6,bengaluru,Moderate,2285.8,High Risk,4
2025-12-12 05:00:00,47.8,45.8,515.0,7.5,137.0,7.3,bengaluru,Good,1872.6,High Risk,5
2025-12-12 06:00:00,42.1,39.9,362.0,5.0,145.0,6.9,bengaluru,Good,1532.4,High Risk,6
2025-12-12 07:00:00,37.4,35.0,309.0,3.2,148.0,6.3,bengaluru,Good,1387.2,High Risk,7
2025-12-12 08:00:00,33.2,30.9,302.0,2.1,148.0,5.6,bengaluru,Good,1332.9,High Risk,8
2025-12-12 09:00:00,30.4,28.1,314.0,3.9,143.0,5.4,bengaluru,Good,1325.9,High Risk,9
2025-12-12 10:00:00,29.0,26.8,335.0,10.3,129.0,5.8,bengaluru,Good,1342.4,High Risk,10
2025-12-12 11:00:00,29.1,27.1,375.0,19.5,111.0,6.8,bengaluru,Good,1411.0,High Risk,11
2025-12-12 12:00:00,34.3,32.8,434.0,28.6,92.0,8.1,bengaluru,Good,1557.6999999999998,High Risk,12
2025-12-12 13:00:00,42.8,41.3,534.0,38.2,73.0,10.3,bengaluru,Good,1815.9,High Risk,13
2025-12-12 14:00:00,45.5,44.2,654.0,47.6,55.0,12.9,bengaluru,Good,2072.5,High Risk,14
2025-12-12 15:00:00,45.4,44.1,731.0,51.9,45.0,14.6,bengaluru,Good,2219.7,High Risk,15
2025-12-12 16:00:00,44.8,43.7,734.0,47.5,48.0,14.5,bengaluru,Good,2212.9,High Risk,16
2025-12-12 17:00:00,44.2,43.1,695.0,37.9,58.0,13.4,bengaluru,Good,2117.3,High Risk,17
2025-12-12 18:00:00,43.1,42.0,647.0,28.9,68.0,12.4,bengaluru,Good,2002.5,High Risk,18
2025-12-12 19:00:00,41.7,40.7,590.0,22.0,75.0,11.7,bengaluru,Good,1868.4,High Risk,19
2025-12-12 20:00:00,40.6,39.8,524.0,15.6,82.0,11.1,bengaluru,Good,1721.6,High Risk,20
2025-12-12 21:00:00,40.3,39.3,477.0,11.2,86.0,10.7,bengaluru,Good,1617.0,High Risk,21
2025-12-12 22:00:00,40.4,39.3,431.0,9.0,87.0,10.5,bengaluru,Good,1518.7,High Risk,22
2025-12-12 23:00:00,41.6,40.4,404.0,8.7,85.0,10.5,bengaluru,Good,1466.6,High Risk,23
2025-12-13 00:00:00,45.5,44.1,480.0,10.8,81.0,10.8,bengaluru,Good,1646.4,High Risk,0
2025-12-13 01:00:00,53.1,51.7,795.0,18.1,72.0,11.7,bengaluru,Moderate,2343.0,High Risk,1
2025-12-13 02:00:00,57.0,55.9,1213.0,27.8,60.0,12.9,bengaluru,Moderate,3219.3,High Risk,2
2025-12-13 03:00:00,56.1,55.2,1407.0,32.3,59.0,13.3,bengaluru,Moderate,3617.7,High Risk,3
2025-12-13 04:00:00,37.7,34.8,1152.0,26.3,77.0,12.4,bengaluru,Good,2976.9,High Risk,4
2025-12-13 05:00:00,26.5,22.4,673.0,15.0,104.0,10.7,bengaluru,Good,1952.3,High Risk,5
2025-12-13 06:00:00,20.4,16.6,314.0,6.4,126.0,9.3,bengaluru,Good,1213.0,High Risk,6
2025-12-13 07:00:00,17.8,14.6,225.0,2.7,137.0,8.3,bengaluru,Good,1031.4,High Risk,7
2025-12-13 08:00:00,16.6,13.9,256.0,1.7,143.0,7.5,bengaluru,Good,1097.1,High Risk,8
2025-12-13 09:00:00,16.3,13.7,305.0,4.6,140.0,7.3,bengaluru,Good,1195.0,High Risk,9
2025-12-13 10:00:00,16.1,13.6,342.0,13.6,125.0,7.8,bengaluru,Good,1260.9,High Risk,10
2025-12-13 11:00:00,17.0,14.4,398.0,26.5,103.0,8.9,bengaluru,Good,1369.6,High Risk,11
2025-12-13 12:00:00,24.4,22.1,459.0,38.3,81.0,10.3,bengaluru,Good,1539.1,High Risk,12
2025-12-13 13:00:00,34.5,31.8,537.0,49.2,61.0,12.5,bengaluru,Good,1766.3,High Risk,13
2025-12-13 14:00:00,37.7,34.8,620.0,59.0,42.0,15.0,bengaluru,Good,1949.1,High Risk,14
2025-12-13 15:00:00,36.3,33.4,664.0,62.5,32.0,16.4,bengaluru,Good,2015.5,High Risk,15
2025-12-13 16:00:00,34.7,31.7,642.0,55.3,37.0,15.6,bengaluru,Good,1941.2,High Risk,16
2025-12-13 17:00:00,34.1,31.1,580.0,41.8,50.0,13.7,bengaluru,Good,1789.8,High Risk,17
2025-12-13 18:00:00,33.3,30.3,518.0,29.8,63.0,12.1,bengaluru,Good,1644.0,High Risk,18
2025-12-13 19:00:00,32.7,29.7,460.0,21.8,72.0,11.2,bengaluru,Good,1514.6,High Risk,19
2025-12-13 20:00:00,33.4,30.6,402.0,15.4,81.0,10.5,bengaluru,Good,1403.8,High Risk,20
2025-12-13 21:00:00,34.9,32.1,365.0,11.0,87.0,10.2,bengaluru,Good,1341.0,High Risk,21
2025-12-13 22:00:00,36.8,34.0,342.0,8.8,89.0,10.2,bengaluru,Good,1307.4,High Risk,22
2025-12-13 23:00:00,39.2,36.2,340.0,8.7,88.0,10.4,bengaluru,Good,1319.0,High Risk,23
2025-12-14 00:00:00,42.3,39.1,403.0,10.6,85.0,11.0,bengaluru,Good,1469.8,High Risk,0
2025-12-14 01:00:00,48.7,45.3,618.0,16.9,79.0,12.2,bengaluru,Good,1962.0,High Risk,1
2025-12-14 02:00:00,53.9,50.8,899.0,25.3,71.0,13.8,bengaluru,Moderate,2583.1,High Risk,2
2025-12-14 03:00:00,47.7,45.4,1031.0,29.1,71.0,14.5,bengaluru,Good,2819.5,High Risk,3
2025-12-14 04:00:00,34.7,31.9,867.0,23.7,86.0,13.8,bengaluru,Good,2405.6,High Risk,4
2025-12-14 05:00:00,25.9,23.9,553.0,13.6,109.0,12.3,bengaluru,Good,1733.8,High Risk,5
2025-12-14 06:00:00,21.1,19.2,317.0,5.9,126.0,10.8,bengaluru,Good,1238.1,High Risk,6
2025-12-14 07:00:00,18.9,16.7,255.0,2.7,134.0,9.4,bengaluru,Good,1100.6,High Risk,7
2025-12-14 08:00:00,18.3,15.9,270.0,1.9,136.0,8.1,bengaluru,Good,1122.4,High Risk,8
2025-12-14 09:00:00,18.0,15.5,300.0,4.2,132.0,7.4,bengaluru,Good,1173.9,High Risk,9
2025-12-14 10:00:00,18.0,15.8,327.0,11.0,120.0,7.7,bengaluru,Good,1221.8,High Risk,10
2025-12-14 11:00:00,18.9,16.9,368.0,21.0,101.0,8.6,bengaluru,Good,1298.6,High Risk,11
2025-12-14 12:00:00,24.9,23.3,420.0,30.6,83.0,9.9,bengaluru,Good,1442.2,High Risk,12
2025-12-14 13:00:00,34.0,32.5,494.0,40.7,66.0,12.1,bengaluru,Good,1661.7,High Risk,13
2025-12-14 14:00:00,38.0,36.6,577.0,50.4,49.0,14.7,bengaluru,Good,1858.4,High Risk,14
2025-12-14 15:00:00,38.5,37.3,628.0,54.4,40.0,16.2,bengaluru,Good,1960.4,High Risk,15
2025-12-14 16:00:00,38.4,37.3,625.0,48.3,45.0,15.5,bengaluru,Good,1941.9,High Risk,16
2025-12-14 17:00:00,38.5,37.4,590.0,36.5,59.0,13.6,bengaluru,Good,1859.9,High Risk,17
2025-12-14 18:00:00,38.3,37.3,547.0,26.1,70.0,11.9,bengaluru,Good,1757.4,High Risk,18
2025-12-14 19:00:00,37.7,36.6,493.0,19.5,76.0,10.9,bengaluru,Good,1631.7,High Risk,19
2025-12-14 20:00:00,37.5,36.4,430.0,14.4,80.0,10.1,bengaluru,Good,1492.5,High Risk,20
2025-12-14 21:00:00,37.8,36.7,391.0,10.8,83.0,9.3,bengaluru,Good,1408.3,High Risk,21
2025-12-14 22:00:00,38.9,37.6,399.0,8.8,83.0,8.4,bengaluru,Good,1420.5,High Risk,22
2025-12-14 23:00:00,41.8,40.3,432.0,8.2,82.0,7.7,bengaluru,Good,1500.5,High Risk,23
2025-12-15 00:00:00,46.3,44.7,441.8,8.7,82.0,7.2,bengaluru,Good,1555.6,High Risk,0
2025-12-15 01:00:00,50.9,49.1,448.0,11.3,85.0,7.3,bengaluru,Good,1623.6,High Risk,1
2025-12-15 02:00:00,52.7,50.6,469.5,15.0,90.0,7.8,bengaluru,Moderate,1711.3,High Risk,2
2025-12-15 03:00:00,52.2,50.3,485.0,16.5,98.0,8.2,bengaluru,Moderate,1770.9,High Risk,3
2025-12-15 04:00:00,48.1,46.0,451.0,13.8,112.0,8.3,bengaluru,Good,1700.7,High Risk,4
2025-12-15 05:00:00,41.7,39.2,393.0,8.9,129.0,8.4,bengaluru,Good,1563.3000000000002,High Risk,5
2025-12-15 06:00:00,34.9,32.4,342.0,5.1,141.0,8.1,bengaluru,Good,1426.5,High Risk,6
2025-12-15 07:00:00,29.4,26.9,303.0,3.2,144.0,7.2,bengaluru,Good,1302.3,High Risk,7
2025-12-15 08:00:00,25.8,23.3,271.0,2.5,141.0,6.0,bengaluru,Good,1192.9,High Risk,8
2025-12-15 09:00:00,24.5,21.9,265.0,3.6,136.0,5.4,bengaluru,Good,1157.0,High Risk,9
2025-12-15 10:00:00,25.0,22.4,305.0,8.1,127.0,5.8,bengaluru,Good,1233.6,High Risk,10
2025-12-15 11:00:00,26.6,24.2,371.0,14.5,115.0,6.7,bengaluru,Good,1372.6,High Risk,11
2025-12-15 12:00:00,30.7,28.9,420.0,19.2,107.0,7.4,bengaluru,Good,1504.0,High Risk,12
2025-12-11 00:00:00,106.2,105.2,1056.0,28.5,45.0,32.3,delhi,Unhealthy,3334.8,High Risk,0
2025-12-11 01:00:00,111.1,110.1,1287.0,35.6,37.0,36.8,delhi,Unhealthy,3858.4,High Risk,1
